"","Pop","Fam","Ind","Plate","Plate.well","HILO.Designation","Population"
"102",26,"N",2,2,"A6",NA,"Opopeo"
"103",25,"A",2,2,"A7",NA,"Cococtilan"
"104",372,"G",2,2,"A8",NA,"San Pedro"
"105",367,"D",2,2,"A9",NA,"Cocotilan"
"106",35,"L",1,2,"A10",NA,"Xochimilco"
"107",19,"E",2,2,"A11",NA,"Penjamillo"
"108",26,"K",1,2,"A12",NA,"Opopeo"
"109",24,"A",1,2,"B1",NA,"Jicaltepec"
"110",360,"F",1,2,"B2",NA,"Nabogame"
"111",23,"F",1,2,"B3",NA,"Tlapala"
"112",27,"P",2,2,"B4",NA,"Amatlan"
"113",360,"G",1,2,"B5",NA,"Nabogame"
"114",365,"L",2,2,"B6",NA,"Tlapala"
"115",373,"D",1,2,"B7",NA,"Tenango del Air"
"116",366,"C",1,2,"B8",NA,"Jicaltapec"
"117",365,"H",2,2,"B9",NA,"Tlapala"
"118",25,"J",1,2,"B10",NA,"Cococtilan"
"119",373,"G",1,2,"B11",NA,"Tenango del Air"
"120",31,"G",1,2,"B12",NA,"Tenango del Air"
"121",365,"E",2,2,"C1",NA,"Tlapala"
"122",374,"J",2,2,"C2",NA,"Xochomilo"
"123",31,"N",1,2,"C3",NA,"Tenango del Air"
"124",31,"G",2,2,"C4",NA,"Tenango del Air"
"125",368,"F",2,2,"C5",NA,"Opopeo"
"126",19,"B",1,2,"C6",NA,"Penjamillo"
"127",31,"N",2,2,"C7",NA,"Tenango del Air"
"128",360,"A",2,2,"C8",NA,"Nabogame"
"129",26,"N",1,2,"C9",NA,"Opopeo"
"130",360,"C",1,2,"C10",NA,"Nabogame"
"131",23,"K",1,2,"C11",NA,"Tlapala"
"132",374,"D",2,2,"C12",NA,"Xochomilo"
"133",25,"J",2,2,"D1",NA,"Cococtilan"
"134",365,"I",1,2,"D2",NA,"Tlapala"
"135",366,"F",2,2,"D3",NA,"Jicaltapec"
"136",372,"A",2,2,"D4",NA,"San Pedro"
"137",373,"H",2,2,"D5",NA,"Tenango del Air"
"138",368,"A",1,2,"D6",NA,"Opopeo"
"139",361,"E",1,2,"D7",NA,"Penjamillo"
"140",373,"H",1,2,"D8",NA,"Tenango del Air"
"141",369,"G",1,2,"D9",NA,"Amatlan"
"142",370,"C",2,2,"D10",NA,"Puruandiro"
"143",26,"F",1,2,"D11",NA,"Opopeo"
"144",370,"I",2,2,"D12",NA,"Puruandiro"
"145",35,"J",2,2,"E1",NA,"Xochimilco"
"146",30,"D",1,2,"E2",NA,"San Pedro"
"147",25,"I",2,2,"E3",NA,"Cococtilan"
"148",361,"J",1,2,"E4",NA,"Penjamillo"
"149",368,"H",2,2,"E5",NA,"Opopeo"
"150",370,"C",1,2,"E6",NA,"Puruandiro"
"151",374,"B",1,2,"E7",NA,"Xochomilo"
"152",374,"F",2,2,"E8",NA,"Xochomilo"
"153",18,"I",2,2,"E9",NA,"Nabogame"
"154",368,"D",2,2,"E10",NA,"Opopeo"
"155",24,"J",1,2,"E11",NA,"Jicaltepec"
"156",18,"J",1,2,"E12",NA,"Nabogame"
"157",370,"E",2,2,"F1",NA,"Puruandiro"
"158",18,"B",2,2,"F2",NA,"Nabogame"
"159",367,"A",1,2,"F3",NA,"Cocotilan"
"160",26,"M",2,2,"F4",NA,"Opopeo"
"161",35,"N",1,2,"F5",NA,"Xochimilco"
"162",31,"K",1,2,"F6",NA,"Tenango del Air"
"163",23,"G",1,2,"F7",NA,"Tlapala"
"164",19,"E",1,2,"F8",NA,"Penjamillo"
"165",28,"L",1,2,"F9",NA,"Pururandiro"
"166",27,"B",1,2,"F10",NA,"Amatlan"
"167",31,"M",1,2,"F11",NA,"Tenango del Air"
"168",31,"I",1,2,"F12",NA,"Tenango del Air"
"169",25,"D",1,2,"G1",NA,"Cococtilan"
"170",24,"H",1,2,"G2",NA,"Jicaltepec"
"171",31,"H",1,2,"G3",NA,"Tenango del Air"
"172",30,"L",1,2,"G4",NA,"San Pedro"
"173",31,"K",2,2,"G5",NA,"Tenango del Air"
"174",19,"G",2,2,"G6",NA,"Penjamillo"
"175",24,"H",2,2,"G7",NA,"Jicaltepec"
"176",366,"A",2,2,"G8",NA,"Jicaltapec"
"177",26,"D",1,2,"G9",NA,"Opopeo"
"178",35,"F",1,2,"G10",NA,"Xochimilco"
"179",24,"G",2,2,"G11",NA,"Jicaltepec"
"180",26,"C",1,2,"G12",NA,"Opopeo"
"181",27,"D",2,2,"H1",NA,"Amatlan"
"182",18,"C",2,2,"H2",NA,"Nabogame"
"183",31,"L",1,2,"H3",NA,"Tenango del Air"
"184",24,"J",2,2,"H4",NA,"Jicaltepec"
"185",373,"F",2,2,"H5",NA,"Tenango del Air"
"186",361,"B",2,2,"H6",NA,"Penjamillo"
"187",374,"I",2,2,"H7",NA,"Xochomilo"
"188",374,"I",1,2,"H8",NA,"Xochomilo"
"189",366,"C",2,2,"H9",NA,"Jicaltapec"
"190",361,"D",1,2,"H10",NA,"Penjamillo"
"191",360,"I",2,2,"H11",NA,"Nabogame"
"192",368,"D",2,2,"H12",NA,"Opopeo"
"193",25,"E",1,3,"A1",NA,"Cococtilan"
"194",23,"H",2,3,"A2",NA,"Tlapala"
"195",361,"E",2,3,"A3",NA,"Penjamillo"
"196",374,"F",1,3,"A4",NA,"Xochomilo"
"197",373,"C",1,3,"A5",NA,"Tenango del Air"
"198",366,"I",2,3,"A6",NA,"Jicaltapec"
"199",373,"A",2,3,"A7",NA,"Tenango del Air"
"200",367,"A",2,3,"A8",NA,"Cocotilan"
"201",373,"E",1,3,"A9",NA,"Tenango del Air"
"202",370,"J",2,3,"A10",NA,"Puruandiro"
"203",369,"G",2,3,"A11",NA,"Amatlan"
"204",27,"A",2,3,"A12",NA,"Amatlan"
"205",18,"E",1,3,"B1",NA,"Nabogame"
"206",18,"D",1,3,"B2",NA,"Nabogame"
"207",31,"D",2,3,"B3",NA,"Tenango del Air"
"208",35,"I",2,3,"B4",NA,"Xochimilco"
"209",374,"E",2,3,"B5",NA,"Xochomilo"
"210",361,"I",2,3,"B6",NA,"Penjamillo"
"211",365,"A",2,3,"B7",NA,"Tlapala"
"212",30,"E",2,3,"B8",NA,"San Pedro"
"213",367,"G",2,3,"B9",NA,"Cocotilan"
"214",24,"I",1,3,"B10",NA,"Jicaltepec"
"215",361,"I",1,3,"B11",NA,"Penjamillo"
"216",365,"A",1,3,"B12",NA,"Tlapala"
"217",25,"D",2,3,"C1",NA,"Cococtilan"
"218",30,"A",1,3,"C2",NA,"San Pedro"
"219",373,"E",2,3,"C3",NA,"Tenango del Air"
"220",24,"D",1,3,"C4",NA,"Jicaltepec"
"221",31,"O",1,3,"C5",NA,"Tenango del Air"
"222",370,"B",1,3,"C6",NA,"Puruandiro"
"223",25,"B",2,3,"C7",NA,"Cococtilan"
"224",24,"C",2,3,"C8",NA,"Jicaltepec"
"225",360,"F",2,3,"C9",NA,"Nabogame"
"226",360,"C",2,3,"C10",NA,"Nabogame"
"227",30,"M",1,3,"C11",NA,"San Pedro"
"228",370,"H",2,3,"C12",NA,"Puruandiro"
"229",367,"B",2,3,"D1",NA,"Cocotilan"
"230",30,"E",1,3,"D2",NA,"San Pedro"
"231",368,"B",1,3,"D4",NA,"Opopeo"
"232",25,"B",1,3,"D3",NA,"Cococtilan"
"233",373,"C",2,3,"D5",NA,"Tenango del Air"
"234",367,"H",1,3,"D6",NA,"Cocotilan"
"235",18,"I",1,3,"D7",NA,"Nabogame"
"236",361,"D",2,3,"D8",NA,"Penjamillo"
"237",361,"H",2,3,"D9",NA,"Penjamillo"
"238",361,"G",1,3,"D10",NA,"Penjamillo"
"239",368,"I",2,3,"D11",NA,"Opopeo"
"240",366,"B",1,3,"D12",NA,"Jicaltapec"
"241",360,"D",1,3,"E1",NA,"Nabogame"
"242",372,"C",1,3,"E2",NA,"San Pedro"
"243",367,"G",1,3,"E3",NA,"Cocotilan"
"244",27,"N",2,3,"E4",NA,"Amatlan"
"245",368,"E",1,3,"E5",NA,"Opopeo"
"246",374,"A",1,3,"E6",NA,"Xochomilo"
"247",361,"C",1,3,"E7",NA,"Penjamillo"
"248",25,"I",1,3,"E8",NA,"Cococtilan"
"249",374,"G",2,3,"E9",NA,"Xochomilo"
"250",369,"C",2,3,"E10",NA,"Amatlan"
"251",366,"D",2,3,"E11",NA,"Jicaltapec"
"252",360,"B",2,3,"E12",NA,"Nabogame"
"253",370,"A",2,3,"F1",NA,"Puruandiro"
"254",25,"C",1,3,"F2",NA,"Cococtilan"
"255",23,"I",2,3,"F3",NA,"Tlapala"
"256",18,"B",1,3,"F4",NA,"Nabogame"
"257",19,"C",2,3,"F5",NA,"Penjamillo"
"258",366,"J",1,3,"F6",NA,"Jicaltapec"
"259",30,"H",2,3,"F7",NA,"San Pedro"
"260",31,"J",1,3,"F8",NA,"Tenango del Air"
"261",367,"C",2,3,"F9",NA,"Cocotilan"
"262",23,"F",2,3,"F10",NA,"Tlapala"
"263",26,"H",1,3,"F11",NA,"Opopeo"
"264",25,"H",2,3,"F12",NA,"Cococtilan"
"265",23,"J",2,3,"G1",NA,"Tlapala"
"266",26,"M",1,3,"G2",NA,"Opopeo"
"267",367,"E",1,3,"G3",NA,"Cocotilan"
"268",23,"I",1,3,"G4",NA,"Tlapala"
"269",27,"H",2,3,"G5",NA,"Amatlan"
"270",19,"H",1,3,"G6",NA,"Penjamillo"
"271",25,"C",2,3,"G7",NA,"Cococtilan"
"272",28,"J",2,3,"G8",NA,"Pururandiro"
"273",19,"I",1,3,"G9",NA,"Penjamillo"
"274",370,"E",1,3,"G10",NA,"Puruandiro"
"275",18,"G",1,3,"G11",NA,"Nabogame"
"276",367,"B",1,3,"G12",NA,"Cocotilan"
"277",18,"F",2,3,"H1",NA,"Nabogame"
"278",30,"A",2,3,"H2",NA,"San Pedro"
"279",24,"I",2,3,"H3",NA,"Jicaltepec"
"280",372,"C",2,3,"H4",NA,"San Pedro"
"281",19,"G",1,3,"H5",NA,"Penjamillo"
"282",23,"E",2,3,"H6",NA,"Tlapala"
"283",366,"B",2,3,"H7",NA,"Jicaltapec"
"284",35,"B",2,3,"H8",NA,"Xochimilco"
"285",368,"B",1,3,"H9",NA,"Opopeo"
"286",373,"A",1,3,"H10",NA,"Tenango del Air"
"287",28,"N",1,3,"H11",NA,"Pururandiro"
"288",35,"J",1,3,"H12",NA,"Xochimilco"
"289",27,"A",1,4,"A1",NA,"Amatlan"
"290",25,"F",1,4,"A2",NA,"Cococtilan"
"291",35,"I",1,4,"A3",NA,"Xochimilco"
"292",35,"B",1,4,"A4",NA,"Xochimilco"
"293",370,"H",1,4,"A5",NA,"Puruandiro"
"294",361,"A",2,4,"A6",NA,"Penjamillo"
"295",370,"B",2,4,"A7",NA,"Puruandiro"
"296",369,"F",1,4,"A8",NA,"Amatlan"
"297",361,"H",1,4,"A9",NA,"Penjamillo"
"298",360,"B(H)",1,4,"A10",NA,"Nabogame"
"299",374,"H",2,4,"A11",NA,"Xochomilo"
"300",18,"F",1,4,"A12",NA,"Nabogame"
"301",374,"B",2,4,"B1",NA,"Xochomilo"
"302",23,"J",1,4,"B2",NA,"Tlapala"
"303",360,"B",1,4,"B3",NA,"Nabogame"
"304",365,"D",1,4,"B4",NA,"Tlapala"
"305",23,"E",1,4,"B5",NA,"Tlapala"
"306",367,"H",2,4,"B6",NA,"Cocotilan"
"307",366,"H",2,4,"B7",NA,"Jicaltapec"
"308",23,"B",1,4,"B8",NA,"Tlapala"
"309",25,"A",1,4,"B9",NA,"Cococtilan"
"310",26,"J",2,4,"B10",NA,"Opopeo"
"311",31,"L",2,4,"B11/B12? (UNSURE WHAT B11 AND B12 ARE?)",NA,"Tenango del Air"
"312",28,"I",1,4,"C1",NA,"Pururandiro"
"313",366,"H",1,4,"C2",NA,"Jicaltapec"
"314",28,"M",1,4,"C3",NA,"Pururandiro"
"315",26,"J",1,4,"C4",NA,"Opopeo"
"316",368,"I",1,4,"C5",NA,"Opopeo"
"317",27,"H",1,4,"C6",NA,"Amatlan"
"318",361,"C",1,4,"C7",NA,"Penjamillo"
"319",27,"N",1,4,"C8",NA,"Amatlan"
"320",19,"A",2,4,"C9",NA,"Penjamillo"
"321",24,"A",2,4,"C10",NA,"Jicaltepec"
"322",360,"J",1,4,"C11",NA,"Nabogame"
"323",23,"D",2,4,"C12",NA,"Tlapala"
"324",35,"K",2,4,"D1",NA,"Xochimilco"
"325",370,"J",2,4,"D2",NA,"Puruandiro"
"326",367,"C",1,4,"D3",NA,"Cocotilan"
"327",28,"M",2,4,"D4",NA,"Pururandiro"
"328",366,"E",2,4,"D5",NA,"Jicaltapec"
"329",19,"C",1,4,"D6",NA,"Penjamillo"
"330",361,"A",1,4,"D7",NA,"Penjamillo"
"331",366,"E",1,4,"D8",NA,"Jicaltapec"
"332",31,"A",1,4,"D9",NA,"Tenango del Air"
"333",23,"D",1,4,"D10",NA,"Tlapala"
"334",369,"D",2,4,"D11",NA,"Amatlan"
