pop360	pop361	pop362	pop363	pop365	pop366	pop367	pop368	pop369	pop370	pop371	pop372	pop373	pop374
pop360	0.0252757247713952	0.0076930299632744	0.0129350051092034	0.0158300851263693	0.0162112013284937	0.0146059563761436	0.0126756191440076	0.0168422965352977	0.00980638872660001	0.0134479032812475	0.00541507403575994	0.0135625531960501	0.0132206589625955	0.014806945681638
pop361	0.0076930299632744	0.0254056437016215	0.00663086659839529	0.00865288715424675	0.00841785548256944	0.00725533546520762	0.0107887121333744	0.00770351102742116	0.0096377782654369	0.00898177828835213	0.0108568965529795	0.00679949450549467	0.00626327110390776	0.00703268547996515
pop362	0.0129350051092034	0.00663086659839529	0.024857015931794	0.0179806456679226	0.0187703875079499	0.018354544962428	0.0132726572679052	0.0213932459829517	0.00861335109556241	0.0122050759168754	0.00438490090438511	0.0163555224754295	0.0164847990490515	0.0168834678932011
pop363	0.0158300851263693	0.00865288715424675	0.0179806456679226	0.028951166817735	0.0214051554177062	0.0206764787121985	0.0158499049923248	0.0226713026379132	0.0117031081256579	0.0159655990651137	0.00653743331181692	0.0185407214858583	0.0184987280790825	0.0196125388439866
pop365	0.0162112013284937	0.00841785548256944	0.0187703875079499	0.0214051554177062	0.0379129760875507	0.0226323210965811	0.0169290082123228	0.0243364399457288	0.0107193836825213	0.0156888593406293	0.0060416704282458	0.0204932969128097	0.0203077636581696	0.0221736250119204
pop366	0.0146059563761436	0.00725533546520762	0.018354544962428	0.0206764787121985	0.0226323210965811	0.0315020634531059	0.0159309121702723	0.023122510847543	0.00927522898787075	0.0139792422789261	0.00438175630018993	0.0198950310935057	0.0205874299030177	0.0205148394969377
pop367	0.0126756191440076	0.0107887121333744	0.0132726572679052	0.0158499049923248	0.0169290082123228	0.0159309121702723	0.0254054848321017	0.0169439017925937	0.0109828263505859	0.0133914955263207	0.00724567587472479	0.0145493672856575	0.0141097920471639	0.0153567928036541
pop368	0.0168422965352977	0.00770351102742116	0.0213932459829517	0.0226713026379132	0.0243364399457288	0.023122510847543	0.0169439017925937	0.0400196778442006	0.0107296927012983	0.0159218540050802	0.0055098878403953	0.021160557975617	0.0208065526429385	0.0216936790626239
pop369	0.00980638872660001	0.0096377782654369	0.00861335109556241	0.0117031081256579	0.0107193836825213	0.00927522898787075	0.0109828263505859	0.0107296927012983	0.0201061534688603	0.0117264159477311	0.00812518122034656	0.00882051592737996	0.00825003010496912	0.00971814777024511
pop370	0.0134479032812475	0.00898177828835213	0.0122050759168754	0.0159655990651137	0.0156888593406293	0.0139792422789261	0.0133914955263207	0.0159218540050802	0.0117264159477311	0.0209151661583742	0.00679913934302043	0.0127632568324171	0.0123322225027097	0.0139120477183633
pop371	0.00541507403575994	0.0108568965529795	0.00438490090438511	0.00653743331181692	0.0060416704282458	0.00438175630018993	0.00724567587472479	0.0055098878403953	0.00812518122034656	0.00679913934302043	0.0248780496090062	0.00529526223374536	0.00404293626583665	0.00532773452521695
pop372	0.0135625531960501	0.00679949450549467	0.0163555224754295	0.0185407214858583	0.0204932969128097	0.0198950310935057	0.0145493672856575	0.021160557975617	0.00882051592737996	0.0127632568324171	0.00529526223374536	0.026912795786225	0.0175040128041196	0.0188431232632712
pop373	0.0132206589625955	0.00626327110390776	0.0164847990490515	0.0184987280790825	0.0203077636581696	0.0205874299030177	0.0141097920471639	0.0208065526429385	0.00825003010496912	0.0123322225027097	0.00404293626583665	0.0175040128041196	0.0319491228746023	0.0184559314054497
pop374	0.014806945681638	0.00703268547996515	0.0168834678932011	0.0196125388439866	0.0221736250119204	0.0205148394969377	0.0153567928036541	0.0216936790626239	0.00971814777024511	0.0139120477183633	0.00532773452521695	0.0188431232632712	0.0184559314054497	0.0284148684082539
