ID	n	popN	family	zea	symp_allo	RI_ACCESSION	GEOCTY	LOCALITY
HILO69	69	373	C1	maize	sympatric	RIMMA0373	Mexico	Tenango del Aire
HILO70	70	374	E2	maize	sympatric	RIMMA0374	Mexico	Xochimilco
HILO71	71	31	O1	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
HILO72	72	368	E1	maize	sympatric	RIMMA0368	Mexico	Opopeo
HILO73	73	19	G1	mexicana	sympatric	RIMME0019	Mexico	Penjamillo
HILO74	74	366	I2	maize	sympatric	RIMMA0366	Mexico	Jicaltepec
HILO75	75	370	B1	maize	sympatric	RIMMA0370	Mexico	Puruandiro
HILO76	76	367	H1	maize	sympatric	RIMMA0367	Mexico	Cocotilan
HILO77	77	374	A1	maize	sympatric	RIMMA0374	Mexico	Xochimilco
HILO78	78	366	J1	maize	sympatric	RIMMA0366	Mexico	Jicaltepec
HILO79	79	19	H1	mexicana	sympatric	RIMME0019	Mexico	Penjamillo
HILO80	80	18	I1	mexicana	sympatric	RIMME0018	Mexico	Nabogame
HILO81	81	361	C1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO82	82	25	I1	mexicana	sympatric	RIMME0025	Mexico	Cocotilan
HILO83	83	31	J1	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
HILO84	84	373	E1	maize	sympatric	RIMMA0373	Mexico	Tenango del Aire
HILO85	85	374	G2	maize	sympatric	RIMMA0374	Mexico	Xochimilco
HILO86	86	19	I1	mexicana	sympatric	RIMME0019	Mexico	Penjamillo
HILO87	87	370	J2	maize	sympatric	RIMMA0370	Mexico	Puruandiro
HILO88	88	24	I1	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
HILO89	89	361	G1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO90	90	369	C2	maize	sympatric	RIMMA0369	Mexico	Amatlan
HILO91	91	370	E1	maize	sympatric	RIMMA0370	Mexico	Puruandiro
HILO92	92	373	A1	maize	sympatric	RIMMA0373	Mexico	Tenango del Aire
HILO93	93	361	I1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO94	94	30	M1	mexicana	sympatric	RIMME0030	Mexico	San Pedro
HILO95	95	366	D2	maize	sympatric	RIMMA0366	Mexico	Jicaltepec
HILO96	96	26	H1	mexicana	sympatric	RIMME0026	Mexico	Opopeo
HILO97	97	18	G1	mexicana	sympatric	RIMME0018	Mexico	Nabogame
HILO98	98	28	N1	mexicana	sympatric	RIMME0028	Mexico	Puruandiro
HILO99	99	365	A1	maize	sympatric	RIMMA0365	Mexico	Tlapala
HILO100	100	366	B1	maize	sympatric	RIMMA0366	Mexico	Jicaltepec
HILO101	101	367	B1	maize	sympatric	RIMMA0367	Mexico	Cocotilan
HILO102	102	35	J1	mexicana	sympatric	RIMME0035	Mexico	Xochimilco
HILO103	103	27	A1	mexicana	sympatric	RIMME0027	Mexico	Amatlan
HILO104	104	28	I1	mexicana	sympatric	RIMME0028	Mexico	Puruandiro
HILO105	105	35	K2	mexicana	sympatric	RIMME0035	Mexico	Xochimilco
HILO106	106	24	E1	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
HILO107	107	25	F1	mexicana	sympatric	RIMME0025	Mexico	Cocotilan
HILO108	108	23	J1	mexicana	sympatric	RIMME0023	Mexico	Tlapala
HILO109	109	366	H1	maize	sympatric	RIMMA0366	Mexico	Jicaltepec
HILO110	110	24	F1	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
HILO111	111	35	I1	mexicana	sympatric	RIMME0035	Mexico	Xochimilco
HILO112	112	360	B1	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO113	113	28	M1	mexicana	sympatric	RIMME0028	Mexico	Puruandiro
HILO114	114	367	C1	maize	sympatric	RIMMA0367	Mexico	Cocotilan
HILO115	115	369	D1	maize	sympatric	RIMMA0369	Mexico	Amatlan
HILO116	116	35	B1	mexicana	sympatric	RIMME0035	Mexico	Xochimilco
HILO117	117	365	D1	maize	sympatric	RIMMA0365	Mexico	Tlapala
HILO118	118	26	J1	mexicana	sympatric	RIMME0026	Mexico	Opopeo
HILO119	119	370	H1	maize	sympatric	RIMMA0370	Mexico	Puruandiro
HILO120	120	23	E1	mexicana	sympatric	RIMME0023	Mexico	Tlapala
HILO121	121	368	I1	maize	sympatric	RIMMA0368	Mexico	Opopeo
HILO122	122	27	H1	mexicana	sympatric	RIMME0027	Mexico	Amatlan
HILO123	123	19	C1	mexicana	sympatric	RIMME0019	Mexico	Penjamillo
HILO124	124	30	C2	mexicana	sympatric	RIMME0030	Mexico	San Pedro
HILO125	125	361	C1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO126	126	361	A1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO127	127	369	F1	maize	sympatric	RIMMA0369	Mexico	Amatlan
HILO128	128	23	B1	mexicana	sympatric	RIMME0023	Mexico	Tlapala
HILO129	129	27	N1	mexicana	sympatric	RIMME0027	Mexico	Amatlan
HILO130	130	366	E1	maize	sympatric	RIMMA0366	Mexico	Jicaltepec
