ID	popN	family	ind	RI_ACCESSION	zea	symp_allo	GEOCTY	LOCALITY	ELEVATION	LAT	LON	reads_q30	est_coverage
HILO48	28	J	xi	RIMME0028	mexicana	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	7598098	0.533803448127305
HILO50	360	E	xi	RIMMA0360	maize	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	10587403	0.743816706248507
HILO51	18	C	xi	RIMME0018	mexicana	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	12349070	0.867582406434538
HILO52	25	E	xi	RIMME0025	mexicana	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	2912449	0.20461374921657
HILO53	18	E	xi	RIMME0018	mexicana	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	2971426	0.208757171157193
HILO54	18	D	xi	RIMME0018	mexicana	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	2748305	0.193081832519864
HILO55	30	A	xi	RIMME0030	mexicana	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	2337796	0.164241572801275
HILO56	30	E	xi	RIMME0030	mexicana	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	3791865	0.266397013020001
HILO58	25	C	xi	RIMME0025	mexicana	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	3727802	0.261896274769799
HILO59	26	M	xi	RIMME0026	mexicana	sympatric	Mexico	Opopeo	2213	19.4181	-101.613	2497688	0.175474765756666
HILO60	31	D	xi	RIMME0031	mexicana	sympatric	Mexico	Tenango del Aire	2609	19.1197	-99.5896	5175629	0.363613184039963
HILO61	25	B	xi	RIMME0025	mexicana	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	6049665	0.425018476599679
HILO65	24	D	xi	RIMME0024	mexicana	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	7244076	0.508931675703084
HILO67	18	B	xi	RIMME0018	mexicana	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	4221795	0.296601692724497
HILO71	31	O	xi	RIMME0031	mexicana	sympatric	Mexico	Tenango del Aire	2609	19.1197	-99.5896	7617676	0.53517889812906
HILO73	19	G	xi	RIMME0019	mexicana	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	5623077	0.395048588697505
HILO76	367	H	xi	RIMMA0367	maize	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	8748743	0.614641872239555
HILO78	366	J	xi	RIMMA0366	maize	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	7740062	0.543777111629663
HILO79	19	H	xi	RIMME0019	mexicana	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	6066269	0.426184988594221
HILO82	25	I	xi	RIMME0025	mexicana	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	7333299	0.515200026684114
HILO83	31	J	xi	RIMME0031	mexicana	sympatric	Mexico	Tenango del Aire	2609	19.1197	-99.5896	5307395	0.372870388296336
HILO85	374	G	xi	RIMMA0374	maize	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	1281977	0.0900651377515659
HILO86	19	I	xi	RIMME0019	mexicana	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	7808923	0.548614932784575
HILO87	370	J	xi	RIMMA0370	maize	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	7961145	0.5593092708256
HILO88	24	I	xi	RIMME0024	mexicana	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	6664455	0.468210473053816
HILO89	361	G	xi	RIMMA0361	maize	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	12631917	0.887453787916123
HILO90	369	C	xi	RIMMA0369	maize	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	9273896	0.651536432193164
HILO91	370	E	xi	RIMMA0370	maize	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	8974557	0.630506407263375
HILO93	361	I	xi	RIMMA0361	maize	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	9867144	0.693214998065127
HILO94	30	M	xi	RIMME0030	mexicana	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	6897520	0.484584426198115
HILO95	366	D	xi	RIMMA0366	maize	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	7874572	0.553227095271307
HILO96	26	H	xi	RIMME0026	mexicana	sympatric	Mexico	Opopeo	2213	19.4181	-101.613	6682245	0.469460307333683
HILO97	18	G	xi	RIMME0018	mexicana	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	10549548	0.741157207841292
HILO98	28	N	xi	RIMME0028	mexicana	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	5141037	0.361182927299708
