sample_name	organism	isolate	ecotype	dev_stage	geo_loc_name	tissue	growth_protocol	lat_lon	isolation_source
HILO403	Zea mays subsp. mexicana	family_O_seed_i	RIMME0029	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO404	Zea mays subsp. mexicana	family_S_seed_i	RIMME0030	seedling	Mexico:San Pedro	leaf	greenhouse	19.0886 N 98.4935 W	Elevation: 2459 m
HILO405	Zea mays subsp. mexicana	family_M_seed_i	RIMME0027	seedling	Mexico:Amatlan	leaf	greenhouse	18.9719 N 99.0551 W	Elevation: 1658 m
HILO406	Zea mays subsp. mexicana	family_K_seed_i	RIMME0030	seedling	Mexico:San Pedro	leaf	greenhouse	19.0886 N 98.4935 W	Elevation: 2459 m
HILO407	Zea mays subsp. mexicana	family_E_seed_i	RIMME0019	seedling	Mexico:Penjamillo	leaf	greenhouse	20.1176 N 101.93 W	Elevation: 1705 m
HILO408	Zea mays subsp. mays	family_F_seed_i	RIMMA0374	seedling	Mexico:Xochimilco	leaf	greenhouse	19.2861 N 99.0827 W	Elevation: 2237 m
HILO409	Zea mays subsp. mexicana	family_O_seed_i	RIMME0025	seedling	Mexico:Cocotilan	leaf	greenhouse	19.2244 N 98.8427 W	Elevation: 2269 m
HILO410	Zea mays subsp. mexicana	family_J_seed_i	RIMME0023	seedling	Mexico:Tlapala	leaf	greenhouse	19.2351 N 98.8368 W	Elevation: 2272 m
HILO411	Zea mays subsp. mexicana	family_E_seed_i	RIMME0021	seedling	Mexico:El Porvenir	leaf	greenhouse	19.6789 N 100.64 W	Elevation: 2094 m
HILO412	Zea mays subsp. mexicana	family_I_seed_i	RIMME0034	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO413	Zea mays subsp. mexicana	family_G_seed_i	RIMME0035	seedling	Mexico:Xochimilco	leaf	greenhouse	19.2861 N 99.0827 W	Elevation: 2237 m
HILO414	Zea mays subsp. mexicana	family_M_seed_ii	RIMME0035	seedling	Mexico:Xochimilco	leaf	greenhouse	19.2861 N 99.0827 W	Elevation: 2237 m
HILO415	Zea mays subsp. mexicana	family_O_seed_i	RIMME0028	seedling	Mexico:Puruandiro	leaf	greenhouse	20.1076 N 101.49 W	Elevation: 1915 m
