sample_name	organism	isolate	ecotype	dev_stage	geo_loc_name	tissue	growth_protocol	lat_lon	isolation_source
HILO184	Zea mays subsp. mays	family_D_seed_xi	RIMMA0362	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO185	Zea mays subsp. mexicana	family_A_seed_xi	RIMME0033	seedling	Mexico:Puerta Encantada	leaf	greenhouse	18.9725 N 99.0298 W	Elevation: 1658 m
HILO188	Zea mays subsp. mays	family_B_seed_xi	RIMMA0371	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO189	Zea mays subsp. mexicana	family_C_seed_xi	RIMME0029	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO191	Zea mays subsp. mexicana	family_L_seed_xi	RIMME0020	seedling	Mexico:Malinalco	leaf	greenhouse	18.9531 N 99.503 W	Elevation: 1887 m
HILO192	Zea mays subsp. mexicana	family_D_seed_xi	RIMME0033	seedling	Mexico:Puerta Encantada	leaf	greenhouse	18.9725 N 99.0298 W	Elevation: 1658 m
HILO193	Zea mays subsp. mays	family_B_seed_xi	RIMMA0362	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO194	Zea mays subsp. mexicana	family_C_seed_xi	RIMME0021	seedling	Mexico:El Porvenir	leaf	greenhouse	19.6789 N 100.64 W	Elevation: 2094 m
HILO195	Zea mays subsp. mays	family_E_seed_xi	RIMMA0371	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO196	Zea mays subsp. mexicana	family_B_seed_xi	RIMME0033	seedling	Mexico:Puerta Encantada	leaf	greenhouse	18.9725 N 99.0298 W	Elevation: 1658 m
HILO197	Zea mays subsp. mexicana	family_C_seed_xi	RIMME0020	seedling	Mexico:Malinalco	leaf	greenhouse	18.9531 N 99.503 W	Elevation: 1887 m
HILO199	Zea mays subsp. mexicana	family_L_seed_xi	RIMME0022	seedling	Mexico:Amecameca	leaf	greenhouse	19.139 N 98.7733 W	Elevation: 2467 m
HILO200	Zea mays subsp. mays	family_H_seed_xi	RIMMA0363	seedling	Mexico:El Porvenir	leaf	greenhouse	19.6789 N 100.64 W	Elevation: 2094 m
HILO201	Zea mays subsp. mays	family_J_seed_xi	RIMMA0363	seedling	Mexico:El Porvenir	leaf	greenhouse	19.6789 N 100.64 W	Elevation: 2094 m
HILO202	Zea mays subsp. mexicana	family_M_seed_xi	RIMME0020	seedling	Mexico:Malinalco	leaf	greenhouse	18.9531 N 99.503 W	Elevation: 1887 m
HILO203	Zea mays subsp. mexicana	family_O_seed_xi	RIMME0033	seedling	Mexico:Puerta Encantada	leaf	greenhouse	18.9725 N 99.0298 W	Elevation: 1658 m
HILO206	Zea mays subsp. mays	family_G_seed_xi	RIMMA0371	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO207	Zea mays subsp. mexicana	family_H_seed_xi	RIMME0021	seedling	Mexico:El Porvenir	leaf	greenhouse	19.6789 N 100.64 W	Elevation: 2094 m
HILO208	Zea mays subsp. mexicana	family_F_seed_xi	RIMME0020	seedling	Mexico:Malinalco	leaf	greenhouse	18.9531 N 99.503 W	Elevation: 1887 m
HILO210	Zea mays subsp. mexicana	family_E_seed_xi	RIMME0022	seedling	Mexico:Amecameca	leaf	greenhouse	19.139 N 98.7733 W	Elevation: 2467 m
HILO211	Zea mays subsp. mexicana	family_H_seed_xi	RIMME0029	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
